FIPS,Employee_pop,labor_pop,labor_pop_percent,2017_inflation adjusted PCI,State,County
1001,42974,25929,60.3,27824,Alabama,Autauga
1003,163759,94968,58,29364,Alabama,Baldwin
1005,21241,10139,47.7,17561,Alabama,Barbour
1007,18415,8901,48.3,20911,Alabama,Bibb
1009,45924,22498,49,22021,Alabama,Blount
1011,8517,4882,57.3,20856,Alabama,Bullock
1013,16078,8386,52.2,19004,Alabama,Butler
1015,93148,53016,56.9,23638,Alabama,Calhoun
1017,27447,15532,56.6,22002,Alabama,Chambers
1019,21387,10436,48.8,23010,Alabama,Cherokee
1021,34509,18963,55,23368,Alabama,Chilton
1023,10850,4769,44,20994,Alabama,Choctaw
1025,19863,9365,47.1,20765,Alabama,Clarke
1027,10878,5888,54.1,21330,Alabama,Clay
1029,11843,6261,52.9,20873,Alabama,Cleburne
1031,40416,24112,59.7,26216,Alabama,Coffee
1033,44236,23868,54,23675,Alabama,Colbert
1035,10118,4614,45.6,16337,Alabama,Conecuh
1039,30269,16473,54.4,22431,Alabama,Covington
1041,11123,6142,55.2,21580,Alabama,Crenshaw
1043,65472,34082,52.1,21857,Alabama,Cullman
1045,39173,22535,57.5,23194,Alabama,Dale
1047,31802,16791,52.8,18248,Alabama,Dallas
1049,55678,29953,53.8,20020,Alabama,DeKalb
1051,64931,36128,55.6,26251,Alabama,Elmore
1053,30205,14064,46.6,18164,Alabama,Escambia
1055,83397,44843,53.8,22278,Alabama,Etowah
1057,13535,6894,50.9,21191,Alabama,Fayette
1059,24597,13650,55.5,19314,Alabama,Franklin
1061,21448,11444,53.4,21084,Alabama,Geneva
1063,6681,2830,42.4,14197,Alabama,Greene
1065,12000,5971,49.8,20269,Alabama,Hale
1067,13972,7455,53.4,23983,Alabama,Henry
1069,82515,47889,58,24781,Alabama,Houston
1071,42482,21967,51.7,20946,Alabama,Jackson
1073,524242,326235,62.2,29456,Alabama,Jefferson
1077,76051,42727,56.2,25803,Alabama,Lauderdale
1079,26846,13459,50.1,22419,Alabama,Lawrence
1081,126616,76791,60.6,26170,Alabama,Lee
1083,73004,42011,57.5,26685,Alabama,Limestone
1085,8151,3979,48.8,18976,Alabama,Lowndes
1087,16305,8607,52.8,19564,Alabama,Macon
1089,283489,182611,64.4,34232,Alabama,Madison
1091,15822,7620,48.2,22996,Alabama,Marengo
1093,24401,12619,51.7,21835,Alabama,Marion
1095,73909,41159,55.7,22710,Alabama,Marshall
1097,326953,187844,57.5,24347,Alabama,Mobile
1099,17228,7845,45.5,17264,Alabama,Monroe
1101,179373,110977,61.9,26712,Alabama,Montgomery
1103,94892,54149,57.1,25013,Alabama,Morgan
1105,7801,2810,36,13449,Alabama,Perry
1107,16554,7861,47.5,20089,Alabama,Pickens
1109,27498,15742,57.2,20808,Alabama,Pike
1111,18119,9095,50.2,20983,Alabama,Randolph
1113,45502,26620,58.5,21279,Alabama,Russell
1115,69004,40930,59.3,24686,Alabama,St. Clair
1117,164092,108917,66.4,35330,Alabama,Shelby
1119,10788,5038,46.7,14739,Alabama,Sumter
1121,65310,34399,52.7,21382,Alabama,Talladega
1123,33010,16864,51.1,22430,Alabama,Tallapoosa
1125,165890,97628,58.9,24895,Alabama,Tuscaloosa
1127,52131,27010,51.8,21217,Alabama,Walker
1129,13555,6418,47.3,23239,Alabama,Washington
1131,8560,3532,41.3,15774,Alabama,Wilcox
1133,19583,9844,50.3,20580,Alabama,Winston
4001,53700,21181,39.4,13865,Arizona,Apache
4003,101372,50613,49.9,24896,Arizona,Cochise
4005,112345,71328,63.5,25722,Arizona,Coconino
4007,43414,20621,47.5,22433,Arizona,Gila
4009,28550,14134,49.5,17874,Arizona,Graham
4011,7011,3977,56.7,24935,Arizona,Greenlee
4012,17483,7155,40.9,21707,Arizona,La Paz
4013,3240638,2057901,63.5,30186,Arizona,Maricopa
4015,172208,77653,45.1,23527,Arizona,Mohave
4017,81333,39661,48.8,17685,Arizona,Navajo
4019,814161,478706,58.8,27323,Arizona,Pima
4021,319302,157432,49.3,22944,Arizona,Pinal
4023,35135,19106,54.4,19482,Arizona,Santa Cruz
4025,187588,90223,48.1,27504,Arizona,Yavapai
4027,157101,87425,55.6,20600,Arizona,Yuma
5001,14747,8658,58.7,23766,Arkansas,Arkansas
5003,16422,8775,53.4,20703,Arkansas,Ashley
5005,34719,16902,48.7,24737,Arkansas,Baxter
5007,191488,123720,64.6,30611,Arkansas,Benton
5009,29695,16800,56.6,22288,Arkansas,Boone
5011,8629,4539,52.6,21575,Arkansas,Bradley
5013,4300,2350,54.7,22866,Arkansas,Calhoun
5015,22240,12016,54,21754,Arkansas,Carroll
5017,8850,4073,46,20560,Arkansas,Chicot
5019,18733,10785,57.6,20382,Arkansas,Clark
5021,12219,6582,53.9,19171,Arkansas,Clay
5023,21105,10736,50.9,26189,Arkansas,Cleburne
5025,6727,3608,53.6,23171,Arkansas,Cleveland
5027,19658,10915,55.5,20296,Arkansas,Columbia
5029,16514,9028,54.7,22365,Arkansas,Conway
5031,81271,51387,63.2,25594,Arkansas,Craighead
5033,48359,27512,56.9,22104,Arkansas,Crawford
5035,37066,22145,59.7,20721,Arkansas,Crittenden
5037,13589,7774,57.2,22894,Arkansas,Cross
5039,6073,3117,51.3,18309,Arkansas,Dallas
5041,9425,5058,53.7,18187,Arkansas,Desha
5043,15075,8382,55.6,20300,Arkansas,Drew
5045,95819,60536,63.2,25240,Arkansas,Faulkner
5047,14151,7074,50,19988,Arkansas,Franklin
5049,9940,4437,44.6,19674,Arkansas,Fulton
5051,80247,43747,54.5,25690,Arkansas,Garland
5053,14447,8290,57.4,25814,Arkansas,Grant
5055,34695,20534,59.2,22094,Arkansas,Greene
5057,17008,9424,55.4,18817,Arkansas,Hempstead
5059,27197,14255,52.4,20868,Arkansas,Hot Spring
5061,10295,5898,57.3,23627,Arkansas,Howard
5063,29327,16278,55.5,23056,Arkansas,Independence
5065,11353,5103,44.9,19737,Arkansas,Izard
5067,14291,6127,42.9,19458,Arkansas,Jackson
5069,56823,29861,52.6,20371,Arkansas,Jefferson
5071,20323,10948,53.9,18757,Arkansas,Johnson
5073,5827,2814,48.3,25140,Arkansas,Lafayette
5075,13462,7023,52.2,19422,Arkansas,Lawrence
5077,8040,3356,41.7,15610,Arkansas,Lee
5079,11708,3656,31.2,13142,Arkansas,Lincoln
5081,10024,5153,51.4,23412,Arkansas,Little River
5083,17505,9086,51.9,19708,Arkansas,Logan
5085,54782,35223,64.3,25184,Arkansas,Lonoke
5087,12699,6880,54.2,23203,Arkansas,Madison
5089,13770,5802,42.1,19200,Arkansas,Marion
5091,34525,19990,57.9,22227,Arkansas,Miller
5093,33476,19527,58.3,20378,Arkansas,Mississippi
5095,6081,3248,53.4,20486,Arkansas,Monroe
5097,7506,3396,45.2,21480,Arkansas,Montgomery
5099,6761,3461,51.2,18644,Arkansas,Nevada
5101,6506,3244,49.9,18053,Arkansas,Newton
5103,19393,10154,52.4,19780,Arkansas,Ouachita
5105,8252,4220,51.1,21781,Arkansas,Perry
5107,14947,7966,53.3,17287,Arkansas,Phillips
5109,8733,4708,53.9,20180,Arkansas,Pike
5111,18999,10030,52.8,18361,Arkansas,Poinsett
5113,16095,7910,49.1,18735,Arkansas,Polk
5115,50475,29225,57.9,21650,Arkansas,Pope
5119,310166,196261,63.3,29855,Arkansas,Pulaski
5121,13841,6787,49,20932,Arkansas,Randolph
5123,21411,9643,45,16518,Arkansas,St. Francis
5125,91908,58335,63.5,28410,Arkansas,Saline
5127,8328,4550,54.6,18077,Arkansas,Scott
5129,6499,3197,49.2,21475,Arkansas,Searcy
5131,99792,58747,58.9,23916,Arkansas,Sebastian
5133,12791,7733,60.5,18388,Arkansas,Sevier
5135,13810,6290,45.5,20078,Arkansas,Sharp
5137,10270,4738,46.1,19881,Arkansas,Stone
5139,31312,16956,54.2,23463,Arkansas,Union
5141,13772,6154,44.7,20568,Arkansas,Van Buren
5143,173478,112552,64.9,26371,Arkansas,Washington
5145,62133,34633,55.7,23120,Arkansas,White
5147,5454,2894,53.1,19987,Arkansas,Woodruff
5149,16890,9449,55.9,20209,Arkansas,Yell
6001,1321464,880970,66.7,41363,California,Alameda
6005,32280,14849,46,29628,California,Amador
6007,184969,102855,55.6,26304,California,Butte
