,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
0,1990,20311.146370955,11179.024407357,8608.075974587002,5413.96413149,4400.640547225001,4098.03001165,106.51354673,147.397640028,365.414827967,952.762433447,397.791200779,163.317728737,355.721227546,39.787807746,162.994549102,205.490743435,52.552876385,556.162383587,27.878481585,132.527227904,3552.914151228,236.275193213,2188.836544398,690.157159158,116.343156772,6154.448650513,5295.737270311,429.731808084,4866.005462227,858.7113802020001,101.127134826,193.763692984,30.953179041,46.079017713,264.113301781,93.57961851499999,4789.313982602999,2256.66877278,522.75078592,147.795876757,1040.207858496,50.73584567100001,243.497216288,115.156984824,80.91933469,286.173506812,261.375566064,21.618930019,538.1573430970001,52.974019496,78.398980261,28.318695762,251.944335408,589.4981894770001,181.228525683,28.069692848,155.687004931,52.150121025
1,1991,20444.847348647,11204.065598964,8574.367609509001,5570.075817376,4374.983961764,4083.495345587,111.214697005,135.911068598,392.648546995,936.14505856,398.515650848,170.356289081,353.981423874,41.289467921,135.51117198,214.240481845,52.775833242,564.0565994159999,26.384886184,134.164727446,3499.365985858,243.076384409,2189.606771893,654.7887603749999,120.213023193,6118.394332655,5236.00388122,422.769602409,4813.234278811,882.390451435,105.638034446,198.990938771,29.465181843,47.74002544,283.456063013,93.073730149,5015.048377428,2371.67306381,561.9527059410001,160.411968446,1046.99787247,61.252980061,267.571976025,124.298650471,90.07123386399999,287.947820146,262.711799387,22.168461697,544.879502806,57.141472654,77.426961249,33.588995981,247.852336961,604.2273679890001,200.803489524,7.821303907000001,162.059007331,59.462074038
2,1992,20382.178693947,11259.264336119,8617.615186329,5522.855026197,4253.042154743,3963.160908456,109.912406579,129.989261882,381.527955068,895.7770248229999,397.923129208,168.566899291,345.343568823,45.145234364,127.095568167,224.568118929,53.285082404,557.576112609,29.269835297,140.095824244,3173.209627594,249.138309373,2016.967042499,564.584155241,112.099028966,6227.125948083,5326.594046551,435.468556437,4891.125490114,900.531901531,108.946728421,203.68944127,30.608436398,49.564900144,285.66830218,95.04107688799999,5204.706121745,2463.934448124,593.3298159620001,168.310557746,1058.216918069,64.385077352,290.859392433,132.488186334,98.34727549099999,293.485189728,266.7002236610001,23.712331651,554.229783901,57.253745022,80.348405086,40.143426289,244.934278343,676.3798681530001,218.167642342,22.497518744,176.778949386,56.910176956
3,1993,20486.14427673,11356.243429852,8680.810884801,5570.074606516,4173.503623578,3885.614652891,108.331836748,130.39482872,362.704451487,883.9628468760001,392.449914497,173.512765718,345.2954277110001,43.86310703,118.47604293,210.733000111,52.523839547,541.3471359990001,31.192242694,145.614073936,2869.905974618,212.454697656,1848.611625688,502.569746447,112.776115857,6372.35336462,5450.073448413001,435.14440923,5014.929039183,922.279916206,108.254676218,211.098999149,32.402042262,52.55780533,291.579187915,100.59976429,5482.569088069001,2633.379349976,624.399181809,182.986242025,1050.273087529,70.171295663,317.397006962,142.034047741,111.14071111,297.181929982,270.695468829,23.430271318,563.9720920469999,59.189534903,82.110214511,36.63701019600001,252.585449893,726.6582038160001,219.626365965,28.799919896,187.359111987,59.993600125
4,1994,20584.685584882,11544.21136717,8792.446517762,5529.515932698,4129.467766224,3857.073013814,113.75912684,125.073281732,356.072799484,869.540323721,387.88910454,174.220616529,338.372912507,45.28253485,113.602425054,219.327932254,55.30408481600001,532.9007440759999,32.700617132,143.996709876,2514.666012989,192.194350736,1629.100902958,416.100127236,110.138011001,6521.816354696,5546.959580742,451.601311102,5095.35826964,974.856773953,116.08537927,218.963572804,35.631496882,52.615191536,316.063359189,100.931398409,5756.869409723,2758.917779808,664.871305333,193.996513923,1099.083965199,75.327007104,342.47459926,150.59167022,125.042564439,303.208895097,275.2375073270001,23.975755118,562.289412887,56.338930439,77.147245225,30.847194751,257.662371795,796.3677332650001,248.786893076,33.368276955,199.48819164,65.88165982400001
5,1995,21062.967783756,11701.524689036,8888.785673569,5762.576254418,4192.709065334,3900.468775035,114.251261541,126.068352273,366.555009158,868.3180412560001,410.529467044,179.371396107,338.938612615,48.710548705,117.109575785,231.525848449,55.071695466,523.500046838,32.134802364,157.859797421,2419.041482261,167.578763914,1582.612854645,415.018826944,99.71187541799999,6611.494529199001,5610.517005835,460.993741544,5149.523264291,1000.977523363,120.209658524,235.726069036,38.793620918,55.13714880200001,297.998396358,106.850792444,6119.748996539,2946.934654707,723.565790048,216.320708902,1109.366103438,82.454810642,371.887944153,159.554689377,141.058537481,313.808590646,285.389863974,24.514904744,592.3331782250001,56.819465075,82.652610581,33.198132027,273.7368859810001,813.831941553,254.724637424,33.32420015,198.636313155,69.97228844
6,1996,21525.505512517,12079.500944528,9143.238568020999,5804.049157566,4333.82309817,4016.070480589,119.787823518,127.231460147,380.668689306,894.3255953780001,408.213869536,188.588094187,353.407965158,46.754992233,121.944368206,221.585171207,60.461418234,544.646787429,33.003885781,173.634741233,2304.0215647,146.173661762,1564.503889429,350.216017784,100.994773782,6856.204077391,5793.598609134,476.160671293,5317.43793784,1062.605468257,126.848787475,254.247078011,44.739168769,55.071165418,310.74456161,114.886663342,6244.810796857,2942.542935055,758.67622067,233.98224631,1121.785017238,92.920663446,395.510296257,168.145701612,159.277094966,325.303659459,295.345220894,25.919622073,614.923707602,56.156406724,87.043650469,36.926651588,284.079034402,846.418608339,262.14132954,32.41753654,211.515242447,73.064977237
7,1997,21895.660158616,12342.803047901,9353.979342128,5805.219716149,4261.434999523,3926.267198924,116.35836165,125.097493733,371.96741099,863.151593697,412.043662497,183.26324592,342.8860359080001,48.992988368,112.521323074,240.819586141,55.050754003,519.795170961,34.751670824,182.607051824,2173.179468415,123.206795373,1471.67957587,334.702509899,103.076374432,7202.894182293,6076.374796808,492.813674581,5583.561122227,1126.519385485,132.172473326,271.276261869,51.947362691,59.447858428,327.510175804,119.497734284,6378.841757346,2971.944333222,791.384783384,253.705423771,1110.646707175,100.147823261,418.408792746,181.542058108,163.275920757,337.074286341,304.23929759,28.273102294,648.043466627,58.064790731,93.74400799600001,41.580732398,298.934761804,894.19199807,276.53327104,33.541111181,213.994022506,77.021171972
8,1998,22054.457810895,12354.688867548,9393.23721501,5936.004275554001,4272.323854935,3931.1375603,119.132078859,119.33223098,394.979145145,860.050108013,422.40869725,183.588272686,317.291635722,53.740000347,97.959344166,249.190906718,55.896841363,525.9506349149999,36.410508774,183.534210679,2153.348102021,125.757314016,1454.710123496,317.624167275,116.370666796,7290.781675862,6117.795475574,497.673980837,5620.121494737,1172.986200288,136.007122227,278.763780118,53.040481223,60.4792406,349.857571992,120.224952272,6423.754747755001,3087.85463361,808.074191103,256.199052772,1072.053154114,100.272117521,361.091818473,192.083495348,148.514027354,356.436516812,324.083169768,27.39719316,664.663872104,59.484261676,98.935437441,37.628121518,306.601547226,893.149041406,280.076120351,39.708276771,228.896374357,78.857991398
9,1999,22193.164769803,12434.794959391,9440.45732841,5951.117240070999,4197.255797558,3869.811638495,115.064192059,111.806948324,389.988886517,828.4329937230001,427.45915055,178.457240773,308.913025318,60.209612226,84.014698678,270.351027268,54.456293838,523.0882725060001,37.726949681,181.955807204,2185.20039436,113.028021528,1501.927156972,314.849362758,117.661732595,7326.80728366,6162.536869815001,508.9693851,5653.567484715,1164.270413845,139.649318417,287.944611554,56.684071148,52.860587173,341.91228773,108.987084637,6533.383277041001,2999.151804608,872.3543415700001,277.432183565,1108.951155299,108.603535165,394.93746006,200.028354773,154.708420893,363.788978558,329.698634585,29.000790164,666.909187761,63.236291111,103.944941459,39.460184253,289.739325367,919.819850866,305.892917081,43.76533366,234.927051407,81.064477427
