year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,4666.162201,2333.963792,1599.208542,1760.78672,1351.414316,1220.363316,16.62014648,84.788,31.20898599,448.7662602,22.4852741,12.52896839,183.6386813,4.399,46.953,47.563,4.878,106.681,1.277,54.451,658.672,90.361,388.194,149.853,8.94,902.8453297,868.657,49.373,819.284,34.18832969,1.326,15.374,3.741329689,5.055,7.496,0.646,1505.851512,1004.80898,218.2347405,8.524,121.4100219,2.104,44.776,17.36476944,12.78,96.44712372,94.1,2.323123717,145.847919,0.94,1.199,0.075,134.175,5.084,1.061,0,0,0
1991,4584.254475,2248.275876,1518.432582,1801.582347,1242.582467,1117.791467,16.02302849,79.201,33.50417118,368.3154498,21.17469439,11.45356339,183.1855912,4.619,39.661,47.72,4.906,106.0919684,1.156,57.877,616.165,89.87,365.58,132.574,9.29,902.506485,867.35,51.486,815.864,35.156485,1.011936776,17.757,2.976548223,5.21,7.402,0,1573.063419,1050.176724,236.7176228,9.388,121.9962982,2.478,43.257,19.03577385,15.063,100.2715627,97.972,2.2815627,143.755542,1.171,1.307,0.073,131.351,5.91,1.512,0,0,0
1992,4532.863185,2182.027053,1476.124159,1829.946257,1164.802339,1042.262339,14.23568967,73.631,29.65870387,327.824,18.47921853,11.43503161,174.2438675,4.713,43.85352961,47.222,4.577,100.0572983,1.159,59.828,580.928,90.809,341.7,129.105,6.712,913.3845827,878.877,53.182,825.695,34.50758268,1.282,17.023,2.649448141,5.315,7.349134539,0.005,1622.016016,1090.394176,251.1350813,9.7,121.2279386,2.602,40.144,21.9248198,16.079,103.2737221,100.72,2.533722138,141.813525,1.056,1.343,0.052,129.694,6.645,1.331,0,0,0
1993,4512.158899,2157.632177,1463.053441,1859.980934,1104.401298,990.986298,13.51357655,71.871,23.27113386,305.9295022,16.09860961,11.48503115,175.8086649,4.982,44.96530362,44.527,4.654,87.34147615,1.239,54.862,506.88,83.019,291.703,116.648,5.193,943.1887755,906.511,50.198,856.313,36.67777554,1,17.216,2.672775544,5.922,8.91,0.039,1702.964028,1152.136287,265.2466467,9.757,123.9017191,2.175,42.068,23.90437458,16.822,101.4016879,98.927,2.454687859,145.50311,1.015,1.614,0.008,133.679,7.82,1.645,0,0,0
1994,4514.487458,2150.305107,1453.995738,1918.809454,1065.072267,961.2032672,14.47283569,66.895,23.03745772,289.426,16.80400274,12.52482774,170.7230862,5.236,43.84502408,43.196,4.694,82.116033,1.403,59.493,444.5040312,79.56503115,258.713,91.992,5.238,953.9750332,914.832,52.375,862.457,39.14303322,1.566,17.895,3.175033223,5.531,10.118,0.076,1794.364467,1226.177274,280.4871796,10.858,127.7802448,2.416,42.807,25.09276816,18.607,101.7615854,99.435,2.306585395,146.655074,0.943,1.511,0.025,135.537,8.155,1.653,0,0,0
1995,4660.706036,2149.099649,1451.997106,2070.61992,1052.297588,939.6065884,13.79664915,65.807,24.84995002,274.485,17.95009529,13.865,168.4493242,5.672,45.01086648,43.395,4.734,77.21370325,1.523,61.089,429.426,65.645,263.029,91.475,3.04,966.1779,924.954,53.203,871.751,41.22390004,1.457,18.775,3.515900038,5.609,11.057,0.007,1944.325308,1342.337945,302.1319749,12.267,132.5443574,2.647,44.407,25.92503115,20.901,104.0686691,101.706,2.342669114,155.63357,0.901,1.314,0.02,144.346,8.777,1.546,0,0,0
1996,4723.449988,2213.275453,1489.508321,2096.348355,1053.974712,936.0277125,13.12545102,65.873,25.41740808,272.61,16.545987,13.52096885,171.2560034,5.438,45.335214,37.046,5.173,72.15868012,1.513,66.479,400.7141558,58.71815577,263.708,68.418,3.409,1010.250642,966.8,53.983,912.817,43.45064244,1.280327697,19.216,4.789314739,4.715,12.508,0.022,1975.561633,1344.193939,319.0644169,13.533,135.9762463,2.66,50.325,29.64703115,24.942,111.5223935,109.236,2.28639352,161.3444513,0.659,1.393,0.008,150.166,10.082,1.622,0,0,0
1997,4707.610457,2226.336885,1496.6414,2075.147676,1023.294486,893.6904856,12.19057747,64.531,23.17076584,260.474,16.7412586,13.56103115,164.6162525,5.464,37.80102387,40.967,4.412,63.51957617,1.504,72.661,356.7571558,49.19915577,233.608,65.643,2.8,1040.167572,994.664,57.227,937.437,45.50357234,1.175105373,19.713,6.228466968,4.945,12.49,0.047,1992.100809,1333.551847,332.0948288,15.727,138.0717998,2.573,53.957,33.912,25.896,117.4071561,114.978,2.429156149,166.9072777,0.541,1.426,0.01,156.18,10.976,1.66,0,0,0
1998,4668.35853,2211.735354,1489.415269,2050.827136,992.4814806,852.0934806,12.144,59.083,27.10847039,247.647,17.46218692,13.9,151.9272253,4.985,31.36196399,39.519,4.462,63.59863401,1.639,78.256,348.486,49.3,224.625,66.49,2.951,1048.46293,1003.676,59.658,944.018,44.78693028,1.011504164,18.955,5.889426111,4.865,13.083,0.049,1968.816145,1313.539004,334.5761321,17.737,129.9229781,2.746,55.905,36.91203115,22.205,127.3194336,125.08,2.239433586,170.8865407,0.837,1.434,0.012,159.132,11.906,1.933,0,0,0
1999,4568.669271,2189.09055,1479.748209,1989.753842,931.9454139,806.2954139,10.545,51.791,24.40905104,236.4461911,17.44403161,11.89196885,146.2734023,6.083,27.957,43.398,4.187,56.50873746,1.554,75.898,350.129,46.257,230.567,65.858,2.92,1052.224231,1006.672032,59.46003161,947.212,45.55219925,1.025968846,20.397,6.147230402,3.976,12.984,0.05,1928.861008,1226.28457,360.5802713,22.848,138.2681667,3.077,59.153,38.828,21.968,129.963739,127.636,2.327739046,163.9183845,0.849,1.277,0.016,151.925,11.62749437,1.793494365,0,0,0
