year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,4698.290837,2308.374,1551.632,1821.086,1209.388,1087.335,2.357,101.398,13.532,434.446,1.014,0,215.32,0.281,38.183,35.682,0.592,92.762,0.303,47.428,682.789,131.443,376.613,159.213,6.4,1039.541,1001.893,68.332,933.561,37.648,0.276,4.595,2.183,21.375,6.933,2.189,1375.827918,1039.82,225.258,10.23,7.985,0.111,17.217,0.472,12.421,207.14,204.562,2.578,182.466919,0,0,0.09,174.8,1.138,0.835,0,0,0
1991,4526.833456,2191.172,1444.011,1806.95,1088.551,977.093,2.107,96.864,12.876,352.645,0.961,0,209.782,0.27,32.414,33.562,0.746,94.922,0.33,46.108,618.741,130.382,337.863,135.23,6.75,1010.953,974.676,71.134,903.542,36.277,0.292,5.188,2.208,19.894,6.463,2.175,1398.712914,1040.692,245.007,13.271,7.931,0.2,15.058,0.402,14.689,222.296,219.607,2.689,186.385542,0,0,0.1,178.2,1.194,0.858,0,0,0
1992,4478.842434,2126.165,1389.49,1830.705,1026.659,914.11,1.197,86.721,11.827,314.16,0.825,0,198.472,0.221,38.37,33.471,0.746,84.493,0.359,51.431,588.874,126.536,323.545,126.375,5.531,1007.601,970.583,65.614,904.969,37.018,0.202,4.731,1.626,21.817,6.104,2.45,1440.635909,1072.8,255.229,22.008,7.602,0.084,11.97,0.335,15.357,231.357,228.339,3.018,182.683525,0,0,0.087,174.4,1.032,0.677,0,0,0
1993,4361.454965,2017.686,1299.959,1856.011,962.868,857.048,0.971,85.239,10.662,286.561,0.63,0,198.584,0.197,39.777,31.583,0.718,68.199,0.268,48.56,519.034,111.88,288.613,108.717,4.657,964.471,926.701,69.003,857.698,37.77,0.168,4.595,1.355,21.139,6.615,3.815,1488.375855,1112.298,262.291,28.314,7.206,0.419,9.443,0.328,15.546,229.402,226.065,3.337,195.77111,0,0,0.028,188.214,1.533,1.134,0,0,0
1994,4441.441965,2061.141,1341.687,1932.811,909.803,812.952,0.753,76.944,9.61,264.88,0.267,0,200.703,0.147,40.566,29.633,0.686,49.785,0.301,54.371,459.804,104.625,257.311,88.598,4.65,1052.904,1010.403,72.823,937.58,42.501,0.347,5.134,1.182,22.599,8.898,4.278,1586.032891,1202.836,271.725,30.687,6.742,0.141,7.438,0.285,17.095,228.435,225.402,3.033,202.970074,0,0,0.025,195.805,1.493,1.112,0,0,0
1995,4597.944161,2068.137,1333.285,2090.351,909.8,804.871,0.637,74.901,9.896,251.784,0.172,0,200.713,0,41.127,28.305,0.752,53.037,0.292,55.073,418.875,84.494,249.769,77.875,3.054,1057.707,1012.079,74.981,937.098,45.628,0.305,5.199,1.038,25.651,9.32,4.064,1751.549591,1338.746,290.426,41.828,6.317,0.135,5.72,0.235,18.421,245.384,241.807,3.577,213.07457,0,0,0.02,206.211,1.554,1.084,0,0,0
1996,4660.916737,2092.364,1346.579,2142.278,900.969,794.901,0.56,77.145,8.553,240.558,0.137,0,201.715,0,41.871,26.99,0.718,50.197,0.23,56.363,386.134,77.978,244.038,57.989,2.837,1091.051,1040.968,75.854,965.114,50.083,0.31,4.805,1.004,29.999,10.305,3.639,1817.906309,1379.376,307.697,50.33,6.166,0.243,4.951,0.147,21.48,250.76,247.149,3.611,212.6554282,0,0,0.008,206.362,1.441,1.02,0,0,0
1997,4658.418411,2116.491,1355.965,2113.249,879.833,764.348,0.427,74.016,7.316,228.525,0.216,0,200.924,0,33.807,26.49,0.645,48.495,0.386,59.929,370.701,72.647,232.45,59.345,2.947,1122.522,1067.443,78.674,988.769,55.079,0.251,5.647,1.044,32.565,10.405,5.146,1790.149361,1335.871,319.208,54.876,3.97,0.243,4.514,0.099,23.393,268.024,264.458,3.566,225.74105,0,0,0.01,220.073,1.448,0.976,0,0,0
1998,4592.791158,2103.476,1351.647,2060.135,819.203,692.156,0.312,67.529,6.112,211.523,0.189,0,178.546,0,26.235,26.138,0.625,41.177,0.328,67.383,356.789,70.825,220.296,60.215,2.952,1148.112,1088.948,75.138,1013.81,59.164,0.29,5.516,0.941,33.708,11.232,7.456,1747.444745,1295.638,315.708,61.276,3.698,0.35,4.361,0.079,20.163,290.478,287.351,3.127,229.063413,0,0,0.012,222.977,1.701,1.23,0,0,0
1999,4532.047539,2064.344,1320.428,2054.953,777.944,663.206,0.364,59.133,5.69,205.275,0.115,0,171.063,0,22.893,24.299,0.585,37.077,0.404,67.038,368.156,59.794,238.4,63.464,2.956,1125.107,1068.581,72.479,996.102,56.526,0.336,5.66,0.485,32.718,10.326,6.979,1734.622273,1263.752,323.627,73.754,3.69,0.276,4.197,0.092,18.266,294.507,291.002,3.505,230.176266,0,0.039,0.016,223.514,1.535,1.04,0,0,0
