year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,10115.78212,6644.862,5227.845,1995.996,2515.302,2272.167,59.108,53.037,323.252,481.001,218.778,74.074,109.195,23.95,60.216,129.161,130.737,284.416,97.698,46.82,1417.217,96.535,917.409,229.737,45.62,3652.254233,3145.54,432.985,2712.555,506.714233,40.356,215.795,15.811,26.866,100.194,47.148,1890.055324,507.054,215.027,28.288,774.858,19.945,94.384,78.81,38.344,165.3848792,134.339,28.871,262.6276882,13.693,36.202,7.871,140.711,212.941,50.12,14.272,63.633,14.347
1991,10433.39466,6874.674,5432.911,2078.326,2536.19,2292.35,61.783,49.708,346.798,481.055,223.687,76.306,102.833,25.256,50.881,132.075,132.335,290.842,99.903,49.283,1388.441,92.811,898.511,223.894,45.578,3817.098602,3292.206,437.946,2854.26,524.8926022,42.276,222.814,17.272,27.672,102.532,50.448,2041.745824,581.211,235.618,31.482,798.323,22.388,104.374,87.078,43.399,168.4342097,136.949,29.316,268.343021,14.058,37.975,8.292,140.172,213.142,54.398,8.116,67.437,14.575
1992,10521.84972,6930.929,5465.519,2103.794,2530.622,2284.285,63.871,48.148,355.874,475.878,228.069,78.006,98.444,26.035,46.736,134.252,130.053,291.453,100.441,53.985,1288.531,88.023,838.323,207.964,42.704,3852.10756,3308.044,442.485,2865.559,544.0635598,45.043,227.973,19.613,29.008,106.12,54.048,2164.007208,644.977,251.831,34.964,806.201,25.795,115.245,93.025,49.305,169.5308733,138.566,28.781,273.909081,15.13,39.009,8.699,140.69,243.142,59.203,13.196,74.112,15.699
1993,10718.4335,7078.029,5576.655,2152.478,2524.449,2279.337,64.644,47.773,356.188,467.164,228.964,79.381,99.335,26.376,42.688,134.101,130.598,295.746,101.932,59.237,1183.144,71.1,781.57,190.189,41.582,3984.881466,3414.916,451.774,2963.142,569.9654655,48.451,238.635,20.648,31.684,109.88,55.511,2300.21414,715.634,270.562,38.961,813.677,28.494,127.733,101.385,56.279,174.825068,142.69,29.93,283.7848305,15.144,40.762,9.998,146.077,267.135,63.095,16.074,82.198,18.253
1994,11000.20819,7291.63,5728.436,2198.627,2558.447,2308.705,67.822,49.312,363.239,465.073,236.555,82.723,100.003,27.431,40.949,139.998,129.613,291.782,102.923,61.401,1065.87,61.398,706.808,165.808,40.434,4104.221108,3505.175,457.851,3047.324,599.0461084,52.323,247.666,21.957,33.37,118.458,55.927,2515.295215,797.8,294.756,44.669,866.612,34.098,146.54,108.65,62.51,178.7817818,146.499,30.519,293.5410877,15.545,42.563,9.595,151.597,284.052,66.521,17.601,85.909,19.938
1995,11342.47653,7502.786,5874.531,2280.019,2631.61,2370.188,69.829,52.155,367.887,472.579,243.465,83.649,103.81,29.291,43.108,145.537,132.389,303.805,104.965,67.394,1034.891,54.846,696.988,157.838,39.211,4233.54753,3602.79,466.983,3135.807,630.75753,55.394,262.355,24.481,34.847,122.669,57.454,2656.383624,848.435,315.199,49.749,884.005,39.251,163.27,115.837,71.225,184.3162662,151.119,31.145,304.8511089,16.102,44.555,9.436,157.042,296.877,68.843,17.656,89.642,21.485
1996,11699.1447,7709.641,6029.75,2376.291,2715.531,2444.095,71.405,54.146,384.181,479.658,245.954,87.221,107.293,30.69,46.147,151.516,132.299,319.778,104.141,74.157,994.28,48.625,681.006,141.937,39.788,4342.18921,3695.806,474.501,3221.305,646.3832103,58.72,274.892,27.242,36.205,111.286,58.679,2803.811217,915.94,321.273,56.932,904.373,43.927,182.47,123.146,77.354,189.3976673,155.147,32.004,339.1596044,16.697,49.139,9.052,183.18,314.776,75.081,18.933,92.229,22.852
1997,11972.45605,7857,6105.541,2445.163,2759.349,2478.011,73.321,53.163,381.618,482.877,253.674,90.377,108.851,32.439,46.739,163.44,132.04,321.066,104.894,81.885,968.152,41.474,667.926,136.275,40.293,4436.705812,3751.015,480.387,3270.628,685.6908124,63.337,292.601,29.653,35.435,120.013,60.085,2927.973017,952.637,341.128,64.464,915.291,50.986,200.783,131.766,82.429,195.5068997,160.346,33.04,352.9593161,17.123,52.63,8.843,190.871,331.81,79.314,19.92,97.051,25.5
1998,12254.68328,8042.175,6243.189,2484.17,2817.501,2521.859,75.527,52.196,393.307,487.477,260.809,93.656,108.661,34.412,44.029,169.673,132.883,325.35,110.455,87.704,943.458,38.46,649.717,129.803,40.137,4573.272765,3851.466,477.606,3373.86,721.8067653,68.327,304.712,31.252,34.484,129.429,61.167,2999.047457,986.454,357.748,65.261,924.78,53.235,193.47,142.544,80.434,205.9130209,170.054,33.201,355.2470339,18.674,56.53,8.521,185.539,360.244,83.839,22.455,105.611,30.633
1999,12604.82322,8251.194,6383.642,2577.508,2861.929,2561.222,76.05,51.178,401.037,490.652,267.284,95.776,107.026,36.741,38.996,181.652,132.686,332.054,110.224,91.202,960.288,38.162,669.173,125.918,40.529,4692.483974,3946.727,487.106,3459.621,745.756974,70.883,313.062,35.06,32.054,137.219,60.345,3133.614009,1043.574,368.762,71.335,945.888,55.999,214.215,149.186,81.45,212.276416,175.457,33.93,362.678817,19.991,60.806,8.576,182.937,381.553,90.105,23.489,110.612,35.766
2000,13186.80897,8592.229,6611.057,2726.68,2951.796,2637.11,79.166,52.292,410.393,501.411,279.319,98.592,108.818,38.939,41.3,194.709,135.408,340.297,110.918,98.296,984.489,38.539,692.869,124.099,41.905,4880.588282,4093.182,503.403,3589.779,787.406282,75.467,328.898,37.141,33.336,148.338,63.21,3373.559184,1138.463,376.219,79.164,986.455,61.205,263.122,163.759,87.932,217.697503,179.852,34.697,378.9050024,21.211,64.33,8.688,190.231,399.774,96.042,23.907,114.161,37.866
2001,13392.3751,8637.551,6589.149,2810.985,3021.669,2701.682,79.816,53.775,421.425,512.637,285.491,100.64,109.139,40.541,42.299,207.297,138.51,342.505,113.785,97.068,991.445,42.629,700.089,122.166,38.289,4836.042673,4057.079,502.683,3554.396,778.963673,76.195,306.761,39.933,35.19,151.303,65.71,3511.524246,1240.951,381.898,84.52,970.012,65.056,281.572,166.526,92.29,226.8882068,188.035,35.376,383.1789715,22.302,69.174,9.034,181.286,421.627,102.914,25.5,122.943,38.406
2002,13836.78189,8811.702,6711.965,3000.572,3056.798,2732.486,80.438,53.669,419.446,525.51,290.96,102.128,107.657,42.117,41.516,211.866,136.655,344.109,110.464,102.948,991.673,43.22,699.311,123.384,38.349,4946.798687,4144.281,512.377,3631.904,802.517687,73.837,321.121,41.359,35.402,154.976,67.062,3746.390902,1380.006,406.605,87.086,987.659,68.877,300.786,175.907,100.173,237.6583175,197.742,36.195,411.0479829,23.28,74.12,12.843,193.529,446.415,110.833,27.053,128.628,40.359
