,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
0,1990,0.174128,0.146004,0.152181,0.264108,0.123562,0.126701,0.143791,0.218604,0.120673,0.129682,0.077347,0.129294,0.248357,0.07471,0.224475,0.090124,0.168203,0.124544,0.122769,0.076131,0.329506,0.322354,0.292516,0.434582,0.6893,0.169035,0.19679,0.235776,0.193258,0.102665,0.116268,0.085482,0.115393,0.088652,0.103813,0.128904,0.188566,0.472381,0.171984,0.110076,0.109163,0.104372,0.180088,0.285268,0.104376,0.167024,0.167756,0.162954,0.162061,0.078309,0.091179,0.19439,0.230571,0.097144,0.101296,0.107394,0.078351,0.093095
1,1991,0.173131,0.14592,0.151897,0.260411,0.122949,0.126243,0.147571,0.224706,0.126221,0.120987,0.078048,0.131124,0.26158,0.07237,0.212412,0.091161,0.175503,0.130253,0.122984,0.074312,0.346847,0.369576,0.305247,0.475082,0.718296,0.169101,0.19865,0.240198,0.194963,0.101207,0.109824,0.085796,0.109451,0.08786,0.104586,0.122704,0.181037,0.419222,0.177304,0.108003,0.106653,0.118131,0.175133,0.286533,0.104408,0.166401,0.166426,0.167924,0.164188,0.083839,0.090214,0.202977,0.239365,0.100882,0.099918,0.053791,0.079304,0.106147
2,1992,0.170377,0.14441,0.150475,0.257413,0.11962,0.12266,0.147099,0.219902,0.122513,0.116503,0.076939,0.127893,0.249041,0.076166,0.209998,0.092002,0.169671,0.129496,0.120703,0.073923,0.363415,0.410557,0.326211,0.457723,0.761565,0.167387,0.196149,0.243854,0.192026,0.101013,0.107003,0.087079,0.10647,0.086373,0.101851,0.12943,0.177672,0.379594,0.174234,0.105716,0.10812,0.119888,0.182211,0.277667,0.102919,0.168235,0.16874,0.171226,0.164986,0.084302,0.088607,0.20166,0.233138,0.105562,0.102281,0.096453,0.086886,0.097766
3,1993,0.16914,0.144689,0.150725,0.252154,0.119638,0.122882,0.144873,0.212898,0.125181,0.116472,0.077197,0.129025,0.245899,0.076682,0.204903,0.089162,0.173093,0.127618,0.124934,0.073221,0.371469,0.376337,0.337215,0.472921,0.810894,0.16501,0.194584,0.245669,0.190173,0.097584,0.099176,0.085284,0.102372,0.085734,0.101764,0.120189,0.176776,0.353251,0.170331,0.109034,0.109337,0.118326,0.191315,0.277904,0.100321,0.168696,0.170558,0.168248,0.17058,0.086418,0.089291,0.209154,0.245533,0.111167,0.108989,0.100351,0.091445,0.101543
4,1994,0.165558,0.142802,0.148778,0.241258,0.116222,0.119166,0.149036,0.199758,0.118803,0.113132,0.074616,0.125731,0.222574,0.077914,0.185934,0.091895,0.177823,0.123745,0.116439,0.075869,0.378624,0.381471,0.337286,0.522867,0.846306,0.162421,0.190802,0.243575,0.186224,0.098138,0.099684,0.085226,0.104795,0.083883,0.09913,0.142695,0.17395,0.327215,0.165818,0.101524,0.114151,0.108495,0.186272,0.272054,0.102719,0.163113,0.164235,0.163878,0.170638,0.084054,0.082651,0.207794,0.249309,0.118668,0.122859,0.108565,0.095685,0.105254
5,1995,0.164397,0.142033,0.147762,0.237353,0.116293,0.119281,0.147995,0.190545,0.120822,0.112367,0.07873,0.126956,0.215211,0.082627,0.187926,0.093551,0.17304,0.120976,0.113985,0.076947,0.386148,0.373414,0.341008,0.588071,0.783491,0.160887,0.188226,0.240583,0.183687,0.097951,0.104082,0.084414,0.103372,0.081129,0.102336,0.128757,0.172545,0.316596,0.163002,0.10347,0.114012,0.107295,0.186404,0.269123,0.103898,0.158986,0.160362,0.157012,0.173587,0.084489,0.083995,0.211558,0.255053,0.118733,0.125713,0.10614,0.096025,0.104832
6,1996,0.16221,0.141637,0.147338,0.230387,0.117623,0.120724,0.153324,0.188541,0.12461,0.115231,0.077662,0.12881,0.21114,0.079052,0.185752,0.089773,0.174399,0.122966,0.105249,0.078227,0.3884,0.322546,0.350067,0.598616,0.796662,0.159302,0.185624,0.241492,0.180883,0.09877,0.10227,0.086974,0.107205,0.081433,0.097982,0.137503,0.167454,0.295994,0.156194,0.099447,0.112986,0.108067,0.188061,0.26688,0.109959,0.162514,0.165126,0.155948,0.170062,0.078585,0.084915,0.211322,0.251732,0.115788,0.115299,0.103757,0.100147,0.104617
7,1997,0.157634,0.138046,0.143378,0.218661,0.113408,0.116301,0.148361,0.191125,0.118596,0.112166,0.077359,0.120101,0.195804,0.079746,0.183071,0.092021,0.165228,0.114739,0.105975,0.076297,0.366542,0.276201,0.329838,0.590492,0.770243,0.154565,0.179498,0.234046,0.174877,0.097697,0.097626,0.088357,0.111743,0.076391,0.096445,0.128723,0.163819,0.270813,0.156071,0.098174,0.112984,0.1174,0.193429,0.264382,0.115179,0.160821,0.162598,0.156414,0.168734,0.079652,0.083824,0.213742,0.25014,0.118958,0.12843,0.102278,0.094461,0.102146
8,1998,0.154534,0.134595,0.140131,0.211897,0.110991,0.113632,0.148077,0.185543,0.118035,0.109306,0.078259,0.115753,0.174572,0.082221,0.171116,0.092674,0.161249,0.112318,0.107665,0.075706,0.373499,0.280427,0.340182,0.569213,0.818291,0.15066,0.173143,0.224158,0.168846,0.098393,0.097222,0.09016,0.11091,0.079546,0.094236,0.135134,0.161868,0.252473,0.150511,0.110537,0.112101,0.119281,0.187148,0.270253,0.11692,0.158016,0.159521,0.15267,0.167459,0.078433,0.084965,0.21086,0.25368,0.114108,0.128004,0.112726,0.097835,0.104152
9,1999,0.152549,0.132691,0.138257,0.20512,0.107266,0.109505,0.14308,0.17064,0.114266,0.104746,0.078238,0.108392,0.162403,0.08493,0.151684,0.092991,0.151452,0.109103,0.110533,0.07719,0.361823,0.249336,0.331157,0.567685,0.808319,0.149379,0.169841,0.219177,0.165666,0.099591,0.102353,0.091765,0.118329,0.074259,0.094348,0.136917,0.159726,0.238944,0.146262,0.114882,0.114182,0.113901,0.18616,0.266377,0.119366,0.154193,0.155197,0.150914,0.166688,0.081131,0.081747,0.216605,0.243747,0.117051,0.143992,0.123185,0.103496,0.103352
