,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
0,1990,8756.404905492,4523.453071817999,3489.825333989,2288.950659316,1776.386382218,1646.107818524,47.886382285,49.791300859,224.662448431,351.09397636,146.755884075,66.518485712,103.10665819,16.780881345,61.973971619,90.093555289,47.20083632400001,205.964719394,21.072450686,51.44440732,1379.122519254,73.44947468,878.7138204390001,252.018968516,46.368358896,2583.739696903,2121.011152219,211.064606772,1909.946545446,462.728544684,46.063748193,140.676920049,14.010270054,24.223658707,123.679613897,39.51322677,2113.157196241,874.1667672010001,305.677685539,98.657635715,440.337153512,21.21603538,93.966237508,47.74776246,41.946847738,102.725006362,86.141523185,13.663548049,377.281335189,22.184590287,32.239028886,66.431788725,89.715466088,222.521586155,69.297507823,9.109241166,58.004159875,20.423952603
1,1991,8810.733749669002,4575.268980306,3525.887334261,2272.556474312,1774.339116669,1648.485763541,50.046056958,45.236408714,237.433000033,344.286497824,150.364294872,69.105639426,100.977883176,16.9651752,51.067782352,93.449924015,48.68501326600001,213.066388288,21.760581832,50.577134924,1366.395505864,74.946254713,870.678582717,252.333530312,48.081159484,2609.402470956,2135.821856836,210.452362511,1925.369494325,473.58061412,47.484746746,143.328856114,14.32600879,24.487753166,129.852503469,41.272321404,2130.489975968,847.8955896690001,318.464314982,103.489829375,444.915296408,26.30512048,100.842349511,51.582336178,45.551024797,101.944926321,85.127297505,13.849013451,388.10957521,23.466224734,32.257102743,69.615028634,92.18913083,236.454121999,76.819536495,2.691572232,67.520701584,23.487766848
2,1992,8820.932717451,4624.868734608001,3568.316392682,2234.934829179,1735.820765446,1610.614601041,50.649699076,44.045122092,234.143655181,337.904811249,149.464194884,68.552677341,98.55495291000001,18.04965152,46.060961032,95.18845925000001,46.521932325,212.620054652,22.120324372,52.845847288,1233.322555298,78.844060277,795.268912712,219.533676054,45.268021454,2665.663561775,2179.323718698,215.542371287,1963.781347412,486.339843077,49.937176842,144.793502871,15.491891393,25.046979312,130.933857199,46.17303718900001,2209.12581593,876.892272182,330.108152434,107.880776085,454.859958018,29.068285595,111.397235988,53.728877772,48.53094829400001,103.965664126,86.69293866699999,14.300172722,392.663364097,24.020523806,33.09965619699999,72.366361328,87.87198897900001,265.116819762,80.86547706,8.822869316,76.926297882,22.356848247
3,1993,8911.139318193,4696.282144348001,3614.625677947,2260.187539087,1736.407966349,1609.76532674,49.403191469,42.668621389,237.778173247,334.584021874,148.686628737,70.02929287200001,100.949603779,17.80052394,45.630613752,91.298719632,46.479767831,214.831383151,23.547055601,56.348777926,1139.481215924,65.62347448999999,750.831787667,194.555107622,47.091556062,2709.721135155,2221.146843847,222.912436944,1998.234406903,488.574291308,50.082744334,148.424585027,15.877031901,26.200511868,133.36183662,42.994303797,2310.96963988,929.201321614,338.044636665,118.495404414,457.598627091,31.528547581,124.971306295,57.546450554,51.209024018,109.120207107,91.166094172,14.969392668,404.116007717,24.106157141,34.322668866,73.52816121200001,93.68520811399999,288.305159758,87.064999861,12.299449361,79.858327973,23.513483153
4,1994,8979.590032618,4778.987713562,3676.314697276,2235.057254945,1726.957234299,1604.748108971,52.462823119,41.199740479,230.955286112,332.973960639,146.806225805,70.261948993,96.210151625,18.261223325,43.03442762,96.33924058100001,49.70180822,216.395008352,23.055521636,55.661185676,998.44801576,58.137314241,656.5912235769999,165.770695812,46.592324834,2781.410231262,2266.69700356,230.944003302,2035.753000258,514.713227701,53.277264284,156.235912139,17.070374281,27.125541097,136.329891002,49.846003732,2416.21393959,973.058504349,351.001673214,118.652380261,482.487212807,31.572120542,132.878761696,60.339299803,56.626060977,109.950234223,91.279049715,15.341220256,411.411934457,23.235709658,33.032569097,71.724176309,98.169941666,313.514233281,96.661215377,14.428784908,84.02835592699999,26.053588725
5,1995,9208.832048898,4879.647920252,3744.341634434,2317.197212661,1780.561796093,1651.381716029,53.338943639,41.744546527,239.777396823,336.470444141,159.37401155,73.15714798399999,99.494617088,20.19517492,46.60024297,100.78007286,50.311105501,216.777163029,23.507156831,60.899079042,962.128555492,52.242859973,636.330897325,163.697018422,42.745942286,2816.017068363,2296.824507,234.214833257,2062.609673742,519.1925613640001,54.044997576,161.581744845,18.342874338,27.599801834,131.884205429,46.754426444,2559.25573704,1044.564128116,371.175347692,130.8663571,495.11811189,34.291617032,145.699424945,63.523753077,61.926617475,111.184386702,92.539717177,15.37122725,427.960537277,24.243509315,35.128273137,72.970393387,103.545094683,322.137324546,101.16440056,14.791896558,84.50608838400001,27.684572012
6,1996,9437.268086865,5023.373155988999,3836.74616891,2362.540547335,1844.255176322,1706.092459289,56.140078239,43.049952092,250.727405077,347.868050231,159.233126142,76.87321716800001,103.524589286,19.997027555,47.843668085,99.296764341,51.476074818,225.937144194,22.796755982,66.480982967,932.946581025,45.351727517,629.718754405,149.969138377,44.203425926,2890.21026863,2347.111486218,238.887244662,2108.224241556,543.098782412,56.039370436,170.15804333,20.317238127,28.272753554,134.826115712,49.831805598,2645.642571096,1073.548211902,382.524319696,135.611770109,505.868957049,37.993214261,158.157798047,66.838405607,69.244014717,118.083457751,98.984676612,15.779755064,441.483095171,23.47404083,37.284690956,75.947415573,106.591218003,328.020358077,97.58420693699999,14.547184312,90.458029923,29.229672975
7,1997,9535.55188473,5074.998516829,3852.355752821,2359.627578328,1835.400528087,1690.714059171,56.33855074,43.38043929400001,244.204052322,344.875784436,161.522560784,74.757732139,102.20664078,21.065262824,44.882184905,105.538566156,50.183440051,219.334733998,24.167140258,69.754498814,892.085191278,39.495579237,601.635737603,143.495711319,44.959923324,2936.940179539,2371.114536288,241.430765287,2129.683771001,565.825643251,57.833643727,178.730776322,22.750290012,27.432067567,141.797356211,49.621776976,2703.412743729,1072.887747061,397.702033958,140.168760534,511.3040849930001,44.296923692,172.305557788,70.582749916,70.534089894,121.03835686,101.334874927,16.303023302,452.295763425,24.054445812,38.826946831,79.073259397,108.671283384,349.397066398,109.2211861,14.694572807,86.263830022,30.876840707
8,1998,9582.418116851,5091.517087027,3871.437145132,2367.250225481,1849.102179254,1700.813765798,57.341468468,41.97504778,251.69394823,342.735526253,166.042680455,75.311502214,95.32853285600001,22.759897696,41.075653563,110.865251027,51.045034283,221.442435988,25.196995775,70.811269612,875.208636939,39.337892193,587.618074087,135.696615664,49.818370895,2971.667081569,2387.937211482,240.205813876,2147.731397606,583.729870087,59.811682996,182.994286588,23.55711409,28.727729282,145.703456607,52.246407618,2694.082611434,1078.624006645,407.253600391,137.103132198,501.585342725,41.69456156500001,157.589378352,75.396901113,66.134355719,123.531238942,103.967358525,16.082387197,464.56723529,24.894403679,41.549504112,80.020648661,110.760257771,351.602590238,111.230229083,16.788794286,91.930291505,31.575254779
9,1999,9788.153359406,5184.876456364001,3940.154302493,2434.601403407,1831.499253618,1687.057337692,57.380619762,39.156572233,251.958276935,334.965541145,168.588432035,74.085089792,92.80022535100001,24.423910127,36.264799665,116.232461476,50.11559112,222.023753804,26.388895282,69.752366095,893.383770562,35.920889702,608.638181212,135.061677846,51.327368544,3044.157829434,2453.007803354,246.99555531,2206.012248044,591.15002608,60.836128107,187.125180287,25.029247399,25.69104167,149.89422598,49.775200584,2786.881424744,1099.096160433,430.764471269,143.619518158,509.61049522,42.25760994100001,174.485193821,78.55155703,70.604917822,126.554377307,106.224871513,16.723122013,476.310772021,26.574469283,42.396163595,82.68111062300001,108.977410206,364.720450512,126.193049012,18.0182504,93.58981374300001,32.24201156
