,year,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
0,1990,8794.073541845999,3442.018599554,2531.30093716,2673.166154362,1128.124706502,950.6210897650001,13.104117464,41.165965212,111.901470633,186.051266455,25.513545149,60.554324808,103.878775015,3.392967045,40.449858371,34.612306206,29.68565603,208.009135472,119.476186212,24.834247002,1661.977535461,90.975731335,1292.620348527,135.791563535,38.645790418,2543.761774217,1923.639877474,276.260491996,1647.379385479,620.121896743,48.41744664,104.592255649,7.928413315,48.18032490700001,195.531597373,144.75033407,1668.428633306,880.926268648,280.491204851,168.560858124,76.185641976,47.750513977,23.675366097,10.648738958,26.578630353,176.334800647,157.520928554,12.357799966,675.5208935539999,100.101615629,54.857105786,146.302310625,114.536076688,939.925198159,187.834038333,50.372853929,368.437011375,110.197843628
1,1991,8812.026778296,3474.996340247,2532.412018745,2616.831464325,1130.291814296,942.9650823310001,12.972904645,39.019283362,118.526384303,168.290695421,26.278108151,67.442090631,99.833999492,3.3941156,35.645401689,34.357851846,31.428772756,214.745205451,131.471336816,24.623743822,1570.257921937,91.87110963200001,1217.425984989,118.61324068,39.63710190699999,2568.92422789,1924.438261921,287.556156665,1636.882105256,644.4859659690001,50.217297563,105.197612076,8.349283101000001,46.350196566,204.012022097,160.414034104,1713.713541752,886.7622812139999,290.513653916,183.161288593,80.13336349800001,51.968089687,23.169934006,10.701453497,29.623967197,186.869247829,167.010244204,12.80837026,701.802098148,102.574100617,55.52006184300001,152.485403234,116.93193213,940.167926444,200.463274725,10.047881917,463.653979284,127.286166493
2,1992,8863.317253033,3500.961833825,2545.659466543,2556.33487547,1134.395023089,931.234257359,12.72497758,36.771190548,120.198972121,163.230834304,27.497707316,67.470200132,97.671190838,2.93971232,33.698215,33.73364005000001,29.458867214,214.968276633,147.147777652,25.722852193,1455.676556896,89.516202636,1138.353302273,111.687125723,40.761706315,2590.783287501,1938.61178453,296.566854344,1642.044930187,652.17150297,54.32232214,105.140343659,8.631101787,47.876543912,203.276625998,161.585319489,1741.103966323,904.085344141,293.713500018,187.391992243,81.15189163800001,53.349763663,20.917824015,10.373585147,30.856839194,192.66346058,172.140003922,13.16583009,710.719620197,104.193316313,56.547080447,157.670671328,115.042385379,1037.975338447,214.909231767,59.74701251600001,477.196561582,133.960993926
3,1993,8896.752968059,3498.627352415,2529.239374731,2516.722810241,1146.074268481,935.489998746,12.102601537,36.191257186,126.410948909,151.99079523,28.538405667,68.77516692200001,97.35638754,3.27588954,33.49226645,32.944945716,29.301338368,223.411152402,155.343424502,25.711920431,1361.557790386,78.891716329,1057.106854307,100.351802948,42.913541498,2578.596555745,1910.35466108,318.578817638,1591.775843443,668.241894665,57.12764488600001,106.050392111,8.23118159,48.556461568,206.521188294,170.556594297,1789.705893231,933.005543917,297.574727493,194.284988762,88.533411442,55.444930196,20.658834443,10.268588045,30.214274218,196.122705886,174.927786687,13.6704182,722.004746115,104.915979207,59.767818161,160.457685412,122.985292414,1102.691008214,227.857311061,106.540441461,471.753747573,131.285789209
4,1994,9023.189828335,3608.906960176,2628.027344151,2524.855712519,1167.383957903,944.212670393,11.627650668,33.558902257,123.790061386,145.119264467,29.74239011,66.635624279,97.435330019,3.485803125,31.810417521,32.251528457,31.242400429,244.619608969,170.535492889,25.851531972,1251.579280686,71.195878572,991.041009381,87.41914542,46.209423123,2683.999093272,1993.375454878,341.317661791,1652.057793087,690.6236383940001,62.424774847,111.101923637,8.316841850000001,50.424215097,205.586957682,177.781721832,1873.313648239,986.194792309,308.234530927,207.516377901,91.38056433999999,57.354749538,20.077857076,10.531869827,31.692633477,194.60237301,173.461462355,13.280236254,731.5966076889999,100.600848545,59.200509537,161.682127009,128.283456266,1120.714867537,231.331602886,113.894518808,461.847882722,133.564206585
5,1995,9246.782421935,3678.312754197,2666.01792217,2601.861676374,1206.083425861,966.8886746610001,11.933697266,32.690298061,127.867297798,144.891568774,29.665251836,66.89696936600001,99.365634511,3.31735872,32.48108585,31.510972694,31.822715492,257.53187306,185.010348218,26.066206235,1216.570195376,63.849563379,967.246013576,81.610758943,48.772553909,2726.180867523,2006.650252347,352.142539934,1654.507712414,719.5306151760001,67.12396583499999,112.487331091,8.303247467,59.242660334,204.090302317,192.362537044,1994.154051877,1064.585260843,322.763950374,214.542346267,99.41167835499999,63.77637802,22.092155019,10.626309996,33.195826675,206.888108792,186.899324013,13.134095249,758.92008982,106.708302952,59.80764729200001,164.615059387,134.77912049,1137.985682685,237.65567036,114.890228258,464.237116074,137.029348201
6,1996,9468.881946541,3774.595732704,2711.418750036,2637.842762821,1258.292456431,995.1756928990001,12.355228224,33.345199927,131.797994707,143.11908966,30.513586498,74.78287035500001,98.96499116400001,3.793070255,32.975605419,32.696434737,31.957377879,268.936257977,207.873539357,26.930226659,1206.987869147,63.708924003,964.624724754,73.655565741,49.20751090300001,2808.256649875,2034.182357623,360.939027139,1673.243330484,774.074292252,72.57444423700001,119.047182849,8.330378104,64.835553054,214.325447342,217.031184198,2050.213865643,1091.140747751,328.035907955,222.729271237,102.869463571,69.836545719,23.363513199,11.178454681,37.153784817,211.010163045,189.756266916,14.057351823,787.2562593790001,112.64511829,58.665498901,177.123063673,134.994199512,1146.864683022,235.233420537,115.207649112,469.058482653,140.014896229
7,1997,9595.661019346,3808.487165275,2716.410223934,2622.171725761,1257.737785536,986.8559426590001,13.401386148,33.772824366,128.738210488,143.453855341,30.675068216,66.51430581000001,100.048877164,3.74775648,31.598165052,31.698635986,32.451661063,268.274184395,213.310584614,27.667966962,1166.728844069,65.55285055499999,933.0894143600001,74.74043229700001,51.427935566,2850.297632451,2037.965230439,367.3950811400001,1670.570149299,812.332402012,76.78904962400001,126.752732941,8.363851565000001,66.728543567,225.967555564,229.068146376,2070.895266996,1080.592839063,338.3721696920001,227.660139076,107.303675054,73.91783748200001,24.802043161,10.986175276,40.037191794,221.316755893,201.015724029,14.665338257,823.867205512,121.625644158,57.687731966,188.770992697,143.364569705,1204.817528889,237.969005805,115.134081307,464.476413742,147.243161524
8,1998,9701.752519606,3811.519923748,2725.208540006,2634.699538929,1225.785568434,959.4472540710001,13.10683929,31.768250747,125.419653336,135.856951576,30.564719183,63.923442166,87.37307374000001,3.732406565,29.05488144,32.336787957,33.961672386,271.895375874,206.521158331,28.570150345,1175.366440262,64.809580579,939.419199581,74.57668144600001,54.549440413,2877.880673688,2051.688733608,368.308712658,1683.38002095,826.19194008,79.532273099,133.887542741,8.107961979,72.705494282,226.136362418,226.551314318,2082.04134312,1079.266895502,337.133053655,229.12221374,109.783106429,74.49194204,28.324764404,11.316713796,39.695099973,235.886806534,216.476377891,13.564251317,836.5346569100001,127.076041614,57.200189152,184.622771761,144.992847449,1268.257030659,241.200513584,117.418326086,478.65329065,150.496271656
9,1999,9722.539693211,3795.1228124,2712.813548202,2666.493361607,1227.354882336,960.0501973620001,13.905022867,28.910101463,127.141661308,137.066504048,29.491566187,59.859558447,83.680267735,3.367840555,27.957876794,30.660074123,33.209035348,281.578364121,210.161661459,27.144115853,1212.276233331,66.121251213,961.7485487499999,75.544267482,55.279863514,2850.765412586,2032.191701736,366.9228791690001,1665.268822567,818.57371085,80.49832419100001,141.783293093,7.958942571,75.54961737,224.772433002,206.232976184,2104.675479756,1073.891790381,344.354738214,237.926857262,105.343750801,72.98461845,32.234092024,11.704054977,41.544383744,234.356647575,213.533249864,14.0528983,846.196641282,136.962923585,59.31937944,183.102985118,144.714991168,1246.914396345,244.333602881,107.6685891,442.368986688,142.32687945
