,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,19.749208,17.736997,15.140998,24.217427,18.043039,12.623001,1.672236,2.316213,14.101214,3.901348,17.709141,1.118553,2.47082,35.079471,17.744017,17.606946,51.177362,2.437316,99.792364,40.366335,13.660477,8.429943,15.338141,3.588268,11.802929,25.21377,18.532642,62.38738,11.963167,66.071569,35.776885,94.500518,53.837361,76.38419,24.693319,62.343858,17.593104,20.40794,24.489294,20.917133,12.353892,17.331422,6.037714,9.080428,11.264035,22.562941,10.082635,80.011778,18.402817,0.782972,23.504354,32.585605,1.704878,4.878009,10.292376,0,0,0
1991,19.679216,17.487917,15.128771,23.956483,18.168957,12.94354,1.7877,2.179157,13.97131,3.852055,22.048004,1.256991,2.593643,33.446036,25.681742,18.524271,44.461858,2.120325,99.801818,37.848156,14.131886,8.373651,15.69414,4.279414,11.134496,25.021352,18.059635,61.418835,11.328148,66.141705,30.736236,94.625753,70.973398,75.682617,22.38893,70.325402,16.799828,18.471131,22.807402,20.557043,13.109926,16.601386,4.39993,5.555612,9.140181,22.819395,10.758969,77.190137,19.334677,1.580793,22.349648,41.864897,2.248152,4.556018,11.003337,0,0,0
1992,19.602935,17.399411,14.742905,24.100507,19.091457,13.638965,1.982693,2.762552,16.115555,4.378477,21.813095,1.287909,2.772881,19.828503,21.592398,13.62382,52.505377,2.523649,99.817877,39.626088,15.033895,8.302197,17.046557,3.203656,12.337216,24.689228,17.469321,61.687388,10.477562,66.391755,35.132871,94.41944,82.69463,68.665007,25.655558,70.093416,15.66228,17.584684,20.752652,23.838316,11.273941,14.874314,3.855909,7.915285,7.424078,21.391599,10.303049,72.57584,18.165423,1.022926,21.235606,40.845355,1.240407,4.870808,13.876755,0,0,0
1993,20.233705,17.973097,15.17702,24.719837,19.658464,13.9013,1.79716,2.983985,14.79225,4.619059,21.669464,1.4347,2.716876,30.936358,23.017161,16.892004,53.10674,2.214471,99.804341,46.180631,16.750854,9.850989,18.225629,4.88765,14.970803,25.313583,17.849184,61.730311,11.002849,67.769632,39.222215,95.254707,81.664792,73.253974,25.396357,68.429852,15.97565,18.12526,19.558813,19.77533,12.919895,14.027462,4.149461,5.83308,5.840049,22.660329,10.775435,77.02407,17.410033,1.709195,21.936982,38.41434,0.853434,4.460244,12.890399,0,0,0
1994,19.976553,16.970042,14.510827,25.698306,19.619248,14.147926,1.992269,3.572098,17.453887,5.17575,22.135514,1.573867,2.834935,37.241094,23.661492,18.542134,43.169315,2.578357,99.646247,39.21809,18.763596,13.82442,20.101517,6.074748,14.970711,24.820388,17.219292,60.40836,10.308614,66.668837,42.872572,95.40534,74.265142,78.492598,19.021824,72.006852,15.007521,18.088436,21.2191,15.656762,9.093208,16.685422,2.508011,7.130364,6.343341,23.10873,10.352137,82.055549,17.054793,0.783869,22.251744,35.812246,1.426055,3.460331,9.092797,0,0,0
1995,20.30726,17.611161,15.109181,25.584517,19.615499,13.944235,2.096549,4.402846,15.887342,5.65846,18.875808,1.731234,2.819303,28.561551,28.166234,15.482674,47.599275,2.521547,99.66477,41.565504,18.567804,12.497562,20.51924,5.231473,13.040271,25.669233,18.101844,61.011826,11.392239,66.39748,40.350459,94.157496,72.405181,76.404626,23.650229,70.051466,15.367916,19.214139,17.260539,16.463095,10.658556,13.686155,3.116553,6.670172,8.74218,22.969216,9.808904,83.852361,17.051925,0.921505,21.948077,34.684997,0.965953,3.218669,8.576035,0,0,0
1996,19.97704,17.580968,15.533924,24.096264,18.687752,13.560675,2.000026,4.194096,14.163086,5.623618,20.970164,2.125891,2.823856,46.024159,25.680522,24.268739,38.416914,2.063733,99.500876,42.941325,17.271921,12.417426,18.225342,4.827145,14.366234,26.579887,19.065816,63.113221,12.201314,66.13243,33.469516,93.561134,60.452933,82.992021,24.664692,71.237498,14.225734,17.552211,15.767294,15.530683,10.185679,10.088299,2.730035,6.370674,9.12936,21.682371,9.394813,79.066707,17.031606,0.616241,20.955749,33.86074,1.784192,3.102726,8.134966,0,0,0
1997,19.858995,17.394193,15.184331,24.431332,19.127963,13.896478,1.978867,3.984643,13.916635,4.823644,20.342144,2.330043,2.792212,41.808934,30.657241,20.07647,48.292451,2.404567,99.581755,38.91051,17.68764,12.498077,18.893772,5.635892,12.54397,26.19429,18.410517,62.358226,11.591929,65.066032,39.525834,92.977836,62.134727,71.644434,19.957252,73.35938,14.174608,17.512466,16.015131,10.339421,11.085158,6.691084,2.440989,6.661705,8.093236,20.261117,9.755711,70.093508,16.82786,0.327011,20.515849,34.702488,2.303648,2.835992,7.087403,0,0,0
1998,19.520225,16.648944,14.163622,25.045025,19.583331,14.353014,2.244449,3.794999,13.45203,5.197765,20.254426,2.555013,3.18722,36.486764,35.311051,19.82983,49.195686,2.832345,99.617975,38.334744,18.584258,12.495676,19.285795,9.210633,12.611299,24.478747,16.641247,60.413878,10.221776,62.707656,36.524694,92.923344,48.170886,69.746308,17.586559,71.596499,14.642058,18.061156,16.701108,15.765396,11.252167,7.996903,2.828504,6.857206,6.105361,19.751152,8.598089,75.648082,17.202427,0.851148,19.410475,38.217193,2.067448,2.649581,6.804299,0,0,0
1999,19.144383,16.383259,14.111963,23.864576,19.716324,14.396213,2.364105,4.471821,15.209982,5.837138,21.729082,2.890913,3.151385,20.779911,36.067837,14.357739,48.281674,3.400226,99.562408,29.982824,18.633951,12.910017,19.076582,8.426098,15.558396,24.137283,16.296369,61.191146,9.626331,61.757715,27.543842,90.036927,38.030737,79.860819,20.907524,75.164655,13.786034,16.681466,15.258048,14.123261,10.45553,11.535572,2.595336,5.702383,4.888993,18.564432,8.705457,69.525094,17.908184,0.75817,21.436601,38.212443,1.73044,1.958602,4.440914,0,0,0
