,World,OECD,G7,BRICS,Europe,European Union,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,CIS,Kazakhstan,Russia,Ukraine,Uzbekistan,America,North America,Canada,United States,Latin America,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,Asia,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Pacific,Australia,New Zealand,Africa,Algeria,Egypt,Nigeria,South Africa,Middle-East,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,0.516965,0.695639,0.738893,0.005364,0.177396,0.180964,0.00987,0,0.119548,0.013091,1.490305,0.319586,0,0.021052,0,0.015139,0.004095,0.002815,0.053345,0.139026,0.00167,0,0.002587,0,0,0.596875,0.534213,0.005392,0.61343,0.980078,0,0,0,0,4.425184,0,1.246562,0.010945,0.010932,3.443842,2.450059,0,0.000949,0.003326,0.002264,1.159305,0,6.815646,0.102335,0,0,0,0,0.000409,0,0,0,0
1991,0.521882,0.701469,0.741079,0.005795,0.182215,0.187176,0.011121,0,0.113488,0.040027,1.438129,0.282319,0,0.023433,0,0.016688,0.00882,0.003407,0.037835,0.134449,0.001774,0,0.002715,0,0,0.597792,0.531972,0.006292,0.613583,0.98657,0,0,0,0,4.229668,0,1.207988,0.011068,0.012216,2.80932,2.454285,0,0.000871,0.002017,0.001993,1.222697,0,7.069706,0.090974,0,0,0,0,0.000406,0,0,0,0
1992,0.537919,0.720468,0.757252,0.009882,0.219918,0.231886,0.012461,0,0.111293,0.054887,1.672015,0.459505,0,0.033236,0,0.072454,0.021165,0.012459,0.036595,0.103947,0.001897,0,0.002876,0,0,0.627614,0.549075,0.018063,0.633039,1.081257,0,0,0,0,4.371387,0,1.136397,0.017372,0.026099,2.61123,2.420271,0,0.001585,0.001895,0.001751,1.194122,0,7.073378,0.082673,0,0,0,0,0.000357,0,0,0,0
1993,0.543769,0.733223,0.770025,0.010455,0.256691,0.271058,0.011294,0,0.104928,0.12864,1.811025,0.504154,0,0.051272,0,0.082269,0.033605,0.067471,0.052453,0.10568,0.00195,0,0.002927,0,0,0.624715,0.553391,0.017849,0.636946,1.030394,0,0,0,0,4.335424,0,1.0732,0.017056,0.027436,2.400881,2.416811,0,0.002072,0.000868,0.001577,1.228221,0.006722,7.148067,0.079785,0,0,0,0,0.000324,0,0,0,0
1994,0.559762,0.738737,0.7855,0.014905,0.282721,0.30012,0.012469,0,0.106319,0.271185,1.612938,0.570949,0,0.162514,0,0.11739,0.05103,0.104751,0.056459,0.100867,0.002369,0,0.003539,0,0,0.603563,0.543157,0.017093,0.627333,0.93613,0,0,0,0,3.811569,0,1.099963,0.017452,0.051175,3.76767,2.440112,0,0.001835,0,0.001405,1.131607,0.010151,6.584988,0.073971,0,0,0,0,0.000303,0,0,0,0
1995,0.55,0.724242,0.768086,0.027162,0.300249,0.319944,0.012095,0,0.103789,0.319943,1.584751,0.745478,0.000719,0.177364,0,0.173559,0.067408,0.117051,0.044643,0.099714,0.002362,0,0.003488,0,0,0.52874,0.460163,0.017139,0.529436,0.897829,0,0,0,0,3.731412,0,1.127602,0.018652,0.1251,3.73355,2.650983,0,0.001088,0,0.001249,1.064574,0.013283,6.181193,0.107002,0,0,0,0,0.000289,0,0,0,0
1996,0.564678,0.742127,0.790125,0.041104,0.327025,0.345897,0.010513,0,0.097196,0.376324,1.699443,0.790185,0,0.205672,0,0.218963,0.103084,0.139083,0.054294,0.08855,0.002263,0,0.003305,0,0,0.537106,0.474393,0.017451,0.545605,0.867213,0.014335,0.000687,0,0,3.640664,0,1.129257,0.020644,0.208563,3.472919,2.703213,0,0.001461,0,0.002226,1.044318,0.01464,6.130562,0.10185,0,0,0,0,0.000273,0,0,0,0
1997,0.572579,0.74871,0.790777,0.04745,0.418239,0.449757,0.010148,0,0.103612,0.553346,1.878929,0.825224,0.001401,0.263096,0,0.399681,0.136684,0.190209,0.050154,0.080352,0.002396,0,0.003477,0,0,0.50687,0.448537,0.017605,0.515398,0.798178,0.0207,0.001299,0,0,3.274167,0,1.098812,0.029316,0.219811,3.490694,2.604344,0,0.00178,0,0.002145,1.064918,0.016399,6.303053,0.091098,0,0,0,0,0.00077,0,0,0,0
1998,0.583009,0.747982,0.757455,0.054999,0.547575,0.586026,0.013224,0,0.106205,0.831786,1.996921,0.939472,0.002801,0.379643,0,0.703836,0.200213,0.241796,0.055552,0.081065,0.002766,0,0.003627,0.001736,0,0.498061,0.441255,0.018513,0.503252,0.775145,0.044493,0.001554,0,0,3.115126,0,1.025275,0.042827,0.224119,3.353494,2.256058,0,0.002754,0,0.002221,1.124674,0.018427,6.96073,0.103701,0,0,0,0,0.000712,0,0,0,0
1999,0.629458,0.801074,0.798124,0.068462,0.64641,0.682287,0.015382,0,0.105362,0.999101,2.062733,0.954797,0.002814,0.471273,0,1.328319,0.231822,0.231155,0.06682,0.087599,0.002718,0,0.003545,0.001743,0,0.530965,0.478424,0.036093,0.544141,0.783053,0.043347,0.000598,0,0,2.948671,0,1.056524,0.050567,0.276856,3.175231,2.282896,0,0.004632,0,0.002221,1.208772,0.030394,7.668306,0.10477,0,0.035039,0,0,0.008545,0.031068,0,0,0
